행정구역,2023년01월_계_총인구수,2023년01월_계_연령구간인구수,2023년01월_계_0~9세,2023년01월_계_10~19세,2023년01월_계_20~29세,2023년01월_계_30~39세,2023년01월_계_40~49세,2023년01월_계_50~59세,2023년01월_계_60~69세,2023년01월_계_70~79세,2023년01월_계_80~89세,2023년01월_계_90~99세,2023년01월_계_100세 이상,2023년01월_남_총인구수,2023년01월_남_연령구간인구수,2023년01월_남_0~9세,2023년01월_남_10~19세,2023년01월_남_20~29세,2023년01월_남_30~39세,2023년01월_남_40~49세,2023년01월_남_50~59세,2023년01월_남_60~69세,2023년01월_남_70~79세,2023년01월_남_80~89세,2023년01월_남_90~99세,2023년01월_남_100세 이상,2023년01월_여_총인구수,2023년01월_여_연령구간인구수,2023년01월_여_0~9세,2023년01월_여_10~19세,2023년01월_여_20~29세,2023년01월_여_30~39세,2023년01월_여_40~49세,2023년01월_여_50~59세,2023년01월_여_60~69세,2023년01월_여_70~79세,2023년01월_여_80~89세,2023년01월_여_90~99세,2023년01월_여_100세 이상
서울특별시 동대문구 이문제1동(1123074000),"17,948","17,948",593,"1,186","5,053","2,136","2,092","2,508","2,105","1,381",803,89,2,"8,915","8,915",294,609,"2,427","1,229","1,087","1,289","1,038",588,325,28,1,"9,033","9,033",299,577,"2,626",907,"1,005","1,219","1,067",793,478,61,1
서울특별시 동대문구 이문제2동(1123075000),"19,640","19,640","1,079","1,638","2,696","2,371","2,897","3,308","2,841","1,856",865,88,1,"9,463","9,463",549,831,"1,255","1,165","1,454","1,668","1,368",806,343,23,1,"10,177","10,177",530,807,"1,441","1,206","1,443","1,640","1,473","1,050",522,65,0
서울특별시 중랑구 (1126000000),"385,097","385,097","20,222","24,784","52,047","57,672","54,628","65,615","62,208","32,098","14,064","1,709",50,"189,367","189,367","10,308","12,674","25,167","29,598","28,369","32,452","30,100","14,651","5,626",412,10,"195,730","195,730","9,914","12,110","26,880","28,074","26,259","33,163","32,108","17,447","8,438","1,297",40
서울특별시 중랑구 면목제2동(1126052000),"23,848","23,848","1,049","1,410","3,069","3,357","3,313","4,541","4,028","2,052",906,122,1,"11,874","11,874",535,712,"1,488","1,768","1,778","2,310","1,950",935,366,31,1,"11,974","11,974",514,698,"1,581","1,589","1,535","2,231","2,078","1,117",540,91,0
서울특별시 중랑구 면목제4동(1126054000),"18,459","18,459",923,"1,174","2,277","2,500","2,819","3,198","2,975","1,809",708,74,2,"9,177","9,177",479,620,"1,159","1,301","1,495","1,617","1,427",761,289,28,1,"9,282","9,282",444,554,"1,118","1,199","1,324","1,581","1,548","1,048",419,46,1
서울특별시 중랑구 면목제5동(1126055000),"14,682","14,682","1,361",854,"1,618","2,541","2,389","2,383","2,065",988,438,44,1,"7,361","7,361",670,441,836,"1,283","1,271","1,215","1,012",457,166,10,0,"7,321","7,321",691,413,782,"1,258","1,118","1,168","1,053",531,272,34,1
서울특별시 중랑구 면목본동(1126056500),"33,142","33,142","1,290","1,666","4,974","5,312","4,568","5,995","5,200","2,811","1,201",121,4,"16,376","16,376",667,810,"2,396","2,817","2,421","3,007","2,513","1,217",503,23,2,"16,766","16,766",623,856,"2,578","2,495","2,147","2,988","2,687","1,594",698,98,2
서울특별시 중랑구 면목제7동(1126057000),"21,469","21,469","1,080","1,110","2,853","3,229","2,989","3,663","3,665","2,004",765,110,1,"10,728","10,728",588,576,"1,400","1,665","1,591","1,840","1,791",937,312,28,0,"10,741","10,741",492,534,"1,453","1,564","1,398","1,823","1,874","1,067",453,82,1
서울특별시 중랑구 면목제3.8동(1126057500),"24,158","24,158",903,"1,279","3,404","3,443","3,214","4,384","4,249","2,213",965,101,3,"11,976","11,976",461,657,"1,715","1,842","1,701","2,169","1,996","1,022",388,25,0,"12,182","12,182",442,622,"1,689","1,601","1,513","2,215","2,253","1,191",577,76,3
서울특별시 중랑구 상봉제1동(1126058000),"23,499","23,499","1,559","1,788","3,105","3,510","3,322","4,031","3,704","1,609",782,88,1,"11,412","11,412",776,954,"1,523","1,768","1,670","1,907","1,787",714,304,9,0,"12,087","12,087",783,834,"1,582","1,742","1,652","2,124","1,917",895,478,79,1
서울특별시 중랑구 상봉제2동(1126059000),"20,274","20,274",768,664,"4,096","4,698","2,500","2,952","2,629","1,309",570,82,6,"9,735","9,735",378,365,"1,676","2,328","1,316","1,506","1,310",586,240,29,1,"10,539","10,539",390,299,"2,420","2,370","1,184","1,446","1,319",723,330,53,5
서울특별시 중랑구 중화제1동(1126060000),"19,099","19,099","1,002","1,216","2,464","3,102","2,638","3,018","3,252","1,691",655,60,1,"9,406","9,406",505,620,"1,219","1,623","1,400","1,414","1,546",798,266,14,1,"9,693","9,693",497,596,"1,245","1,479","1,238","1,604","1,706",893,389,46,0
